task,robot,model,checkpoint,action,success_rate
FlipMugUpright,PandaOGGripper,ee--panda_og+mg_flip_mug_lite,1_0k,act,25.0
FlipMugUpright,PandaOGGripper,aux--panda_og_flip_mug,1_5k,act,8.0
FlipMugUpright,PandaOGGripper,aux--panda_og_flip_mug,2_0k,act,13.0
FlipMugUpright,PandaOGGripper,aux--panda_og_flip_mug,1_0k,act,10.0
FlipMugUpright,PandaOGGripper,aux--panda_og+mg_flip_mug_lite,1_0k,act,30.0
FlipMugUpright,PandaOGGripper,aux--panda_og+mg_flip_mug_lite,1_0k,lm,32.0
FlipMugUpright,PandaOGGripper,aux--panda_og+mg_flip_mug_lite,1_0k,ee,21.0
FlipMugUpright,PandaOGGripper,aux--panda_og+mg_flip_mug_lite,1_0k,bbox,25.0
FlipMugUpright,PandaOGGripper,aux--panda_og+mg_flip_mug_lite,2_0k,act,23.0
FlipMugUpright,PandaOGGripper,aux--panda_og+mg_flip_mug_lite,2_0k,lm,16.0
FlipMugUpright,PandaOGGripper,aux--panda_og+mg_flip_mug_lite,2_0k,bbox,17.0
FlipMugUpright,PandaOGGripper,aux--panda_og+mg_flip_mug_lite,2_0k,ee,31.0
FlipMugUpright,PandaOGGripper,aux--panda_og+mg_flip_mug_lite,1_5k,lm,26.0
FlipMugUpright,PandaOGGripper,aux--panda_og+mg_flip_mug_lite,1_5k,act,30.0
FlipMugUpright,PandaOGGripper,aux--panda_og+mg_flip_mug_lite,1_5k,ee,32.0
FlipMugUpright,PandaOGGripper,aux--panda_og+mg_flip_mug_lite,1_5k,bbox,21.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug_lite,1_5k,act,25.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug_lite,1_5k,lm,22.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug_lite,1_5k,bbox,22.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug_lite,1_5k,ee,17.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug_lite,1_0k,ee,21.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug_lite,1_0k,bbox,31.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug_lite,1_0k,act,27.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug_lite,1_0k,lm,22.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug_lite,2_0k,act,19.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug_lite,2_0k,ee,25.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug_lite,2_0k,bbox,21.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug_lite,2_0k,lm,22.0
FlipMugUpright,Jaco,aux_no_act--jaco+mg_flip_mug_lite,2_0k,act,1.0
FlipMugUpright,Jaco,aux_no_act--jaco+mg_flip_mug_lite,1_0k,act,0.0
FlipMugUpright,Jaco,aux_no_act--jaco+mg_flip_mug_lite,1_5k,act,0.0
FlipMugUpright,Jaco,bbox--jaco+mg_flip_mug_lite,1_0k,act,19.0
FlipMugUpright,Jaco,bbox--jaco+mg_flip_mug_lite,2_0k,act,14.0
FlipMugUpright,Jaco,bbox--jaco+mg_flip_mug_lite,1_5k,act,18.0
FlipMugUpright,Jaco,lm--jaco+mg_flip_mug_lite,2_0k,act,11.0
FlipMugUpright,Jaco,lm--jaco+mg_flip_mug_lite,1_0k,act,14.0
FlipMugUpright,Jaco,lm--jaco+mg_flip_mug_lite,1_5k,act,12.0
FlipMugUpright,Jaco,chain--jaco+mg_flip_mug_lite,1_5k,act,29.0
FlipMugUpright,Jaco,chain--jaco+mg_flip_mug_lite,2_0k,act,26.0
FlipMugUpright,Jaco,chain--jaco+mg_flip_mug_lite,1_0k,act,28.0
FlipMugUpright,Jaco,base--jaco+mg_flip_mug_lite,2_0k,act,13.0
FlipMugUpright,Jaco,base--jaco+mg_flip_mug_lite,1_0k,act,11.0
FlipMugUpright,Jaco,base--jaco+mg_flip_mug_lite,1_5k,act,13.0
FlipMugUpright,Jaco,aux--jaco_flip_mug,1_0k,act,2.0
FlipMugUpright,Jaco,aux--jaco_flip_mug,2_0k,act,2.0
FlipMugUpright,Jaco,aux--jaco_flip_mug,1_5k,act,5.0
FlipMugUpright,Jaco,base--jaco_flip_mug,2_0k,act,2.0
FlipMugUpright,Jaco,base--jaco_flip_mug,1_0k,act,1.0
FlipMugUpright,Jaco,base--jaco_flip_mug,1_5k,act,2.0
FlipMugUpright,Jaco,ee--jaco+mg_flip_mug_lite,2_0k,act,16.0
FlipMugUpright,Jaco,ee--jaco+mg_flip_mug_lite,1_0k,act,22.0
FlipMugUpright,Jaco,ee--jaco+mg_flip_mug_lite,1_5k,act,19.0
FlipMugUpright,Jaco,base--jaco+mg_flip_mug,1_5k,act,16.0
FlipMugUpright,Jaco,base--jaco+mg_flip_mug,1_0k,act,22.0
FlipMugUpright,Jaco,base--jaco+mg_flip_mug,2_0k,act,18.0
FlipMugUpright,Jaco,aux--jaco+mg_jaco_flip_mug,1_5k,act,51.0
FlipMugUpright,Jaco,aux--jaco+mg_jaco_flip_mug,1_0k,act,46.0
FlipMugUpright,Jaco,aux--jaco+mg_jaco_flip_mug,2_0k,act,35.0
FlipMugUpright,Jaco,aux--mg_flip_mug,50_0k,act,22.0
FlipMugUpright,Jaco,aux--mg_flip_mug,40_0k,act,33.0
FlipMugUpright,Jaco,aux--mg_flip_mug,30_0k,act,36.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug,2_0k,act,38.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug,1_0k,act,21.0
FlipMugUpright,Jaco,aux--jaco+mg_flip_mug,1_5k,act,29.0
FlipMugUpright,Jaco,base--jaco+mg_jaco_flip_mug,2_0k,act,26.0
FlipMugUpright,Jaco,base--jaco+mg_jaco_flip_mug,1_0k,act,27.0
FlipMugUpright,Jaco,base--jaco+mg_jaco_flip_mug,1_5k,act,29.0
FlipMugUpright,Jaco,base--mg_flip_mug,40_0k,act,25.0
FlipMugUpright,Jaco,base--mg_flip_mug,30_0k,act,16.0
FlipMugUpright,Jaco,base--mg_flip_mug,50_0k,act,18.0
FlipMugUpright,IIWA,base--mg_flip_mug_lite,15_0k,act,21.0
FlipMugUpright,IIWA,base--mg_flip_mug_lite,10_0k,act,24.0
FlipMugUpright,IIWA,base--mg_flip_mug_lite,5_0k,act,21.0
FlipMugUpright,IIWA,aux--mg_flip_mug_lite,5_0k,act,38.0
FlipMugUpright,IIWA,aux--mg_flip_mug_lite,10_0k,act,31.0
FlipMugUpright,IIWA,aux--mg_flip_mug_lite,15_0k,act,24.0
FlipMugUpright,IIWA,aux--mg_flip_mug,50_0k,act,50.0
FlipMugUpright,IIWA,aux--mg_flip_mug,40_0k,act,63.0
FlipMugUpright,IIWA,aux--mg_flip_mug,30_0k,act,65.0
FlipMugUpright,IIWA,base--mg_flip_mug,40_0k,act,41.0
FlipMugUpright,IIWA,base--mg_flip_mug,30_0k,act,47.0
FlipMugUpright,IIWA,base--mg_flip_mug,50_0k,act,42.0
FlipMugUpright,UR5e,aux--mg_flip_mug_lite,10_0k,act,25.0
FlipMugUpright,UR5e,aux--mg_flip_mug_lite,15_0k,act,31.0
FlipMugUpright,UR5e,aux--mg_flip_mug_lite,5_0k,act,36.0
FlipMugUpright,UR5e,base--mg_flip_mug_lite,15_0k,act,18.0
FlipMugUpright,UR5e,base--mg_flip_mug_lite,10_0k,act,26.0
FlipMugUpright,UR5e,base--mg_flip_mug_lite,5_0k,act,21.0
FlipMugUpright,UR5e,base--mg_flip_mug,50_0k,act,41.0
FlipMugUpright,UR5e,base--mg_flip_mug,40_0k,act,40.0
FlipMugUpright,UR5e,base--mg_flip_mug,30_0k,act,31.0
FlipMugUpright,UR5e,aux--mg_flip_mug,40_0k,act,48.0
FlipMugUpright,UR5e,aux--mg_flip_mug,30_0k,act,54.0
FlipMugUpright,UR5e,aux--mg_flip_mug,50_0k,act,58.0
FlipMugUpright,Kinova,aux--mg_flip_mug_lite,5_0k,act,37.0
FlipMugUpright,Kinova,aux--mg_flip_mug_lite,15_0k,act,34.0
FlipMugUpright,Kinova,aux--mg_flip_mug_lite,10_0k,act,21.0
FlipMugUpright,Kinova,base--mg_flip_mug,50_0k,act,33.0
FlipMugUpright,Kinova,base--mg_flip_mug,40_0k,act,37.0
FlipMugUpright,Kinova,base--mg_flip_mug,30_0k,act,42.0
FlipMugUpright,Kinova,base--mg_flip_mug_lite,10_0k,act,25.0
FlipMugUpright,Kinova,base--mg_flip_mug_lite,15_0k,act,20.0
FlipMugUpright,Kinova,base--mg_flip_mug_lite,5_0k,act,23.0
FlipMugUpright,Kinova,aux--mg_flip_mug,40_0k,act,58.0
FlipMugUpright,Kinova,aux--mg_flip_mug,30_0k,act,57.0
FlipMugUpright,Kinova,aux--mg_flip_mug,50_0k,act,53.0
